conference,team
ASUN Conference,Austin Peay
ASUN Conference,Bellarmine
ASUN Conference,Central Arkansas
ASUN Conference,Eastern Kentucky
ASUN Conference,Florida Gulf Coast
ASUN Conference,Jacksonville
ASUN Conference,Lipscomb
ASUN Conference,North Alabama
ASUN Conference,North Florida
ASUN Conference,Queens University
ASUN Conference,Stetson
ASUN Conference,West Georgia
America East Conference,Binghamton
America East Conference,Bryant
America East Conference,Maine
America East Conference,NJIT
America East Conference,New Hampshire
America East Conference,UAlbany
America East Conference,UMBC
America East Conference,UMass Lowell
America East Conference,Vermont
American Athletic Conference,Charlotte
American Athletic Conference,East Carolina
American Athletic Conference,Florida Atlantic
American Athletic Conference,Memphis
American Athletic Conference,North Texas
American Athletic Conference,Rice
American Athletic Conference,South Florida
American Athletic Conference,Temple
American Athletic Conference,Tulane
American Athletic Conference,Tulsa
American Athletic Conference,UAB
American Athletic Conference,UTSA
American Athletic Conference,Wichita State
Atlantic 10 Conference,Davidson
Atlantic 10 Conference,Dayton
Atlantic 10 Conference,Duquesne
Atlantic 10 Conference,Fordham
Atlantic 10 Conference,George Mason
Atlantic 10 Conference,George Washington
Atlantic 10 Conference,La Salle
Atlantic 10 Conference,Loyola Chicago
Atlantic 10 Conference,Massachusetts
Atlantic 10 Conference,Rhode Island
Atlantic 10 Conference,Richmond
Atlantic 10 Conference,Saint Joseph's
Atlantic 10 Conference,Saint Louis
Atlantic 10 Conference,St. Bonaventure
Atlantic 10 Conference,VCU
Atlantic Coast Conference,Boston College
Atlantic Coast Conference,California
Atlantic Coast Conference,Clemson
Atlantic Coast Conference,Duke
Atlantic Coast Conference,Florida State
Atlantic Coast Conference,Georgia Tech
Atlantic Coast Conference,Louisville
Atlantic Coast Conference,Miami
Atlantic Coast Conference,NC State
Atlantic Coast Conference,North Carolina
Atlantic Coast Conference,Notre Dame
Atlantic Coast Conference,Pittsburgh
Atlantic Coast Conference,SMU
Atlantic Coast Conference,Stanford
Atlantic Coast Conference,Syracuse
Atlantic Coast Conference,Virginia
Atlantic Coast Conference,Virginia Tech
Atlantic Coast Conference,Wake Forest
Big 12 Conference,Arizona
Big 12 Conference,Arizona State
Big 12 Conference,BYU
Big 12 Conference,Baylor
Big 12 Conference,Cincinnati
Big 12 Conference,Colorado
Big 12 Conference,Houston
Big 12 Conference,Iowa State
Big 12 Conference,Kansas
Big 12 Conference,Kansas State
Big 12 Conference,Oklahoma State
Big 12 Conference,TCU
Big 12 Conference,Texas Tech
Big 12 Conference,UCF
Big 12 Conference,Utah
Big 12 Conference,West Virginia
Big East Conference,Butler
Big East Conference,Creighton
Big East Conference,DePaul
Big East Conference,Georgetown
Big East Conference,Marquette
Big East Conference,Providence
Big East Conference,Seton Hall
Big East Conference,St. John's
Big East Conference,UConn
Big East Conference,Villanova
Big East Conference,Xavier
Big Sky Conference,Eastern Washington
Big Sky Conference,Idaho
Big Sky Conference,Idaho State
Big Sky Conference,Montana
Big Sky Conference,Montana State
Big Sky Conference,Northern Arizona
Big Sky Conference,Northern Colorado
Big Sky Conference,Portland State
Big Sky Conference,Sacramento State
Big Sky Conference,Weber State
Big South Conference,Charleston Southern
Big South Conference,Gardner-Webb
Big South Conference,High Point
Big South Conference,Longwood
Big South Conference,Presbyterian
Big South Conference,Radford
Big South Conference,South Carolina Upstate
Big South Conference,UNC Asheville
Big South Conference,Winthrop
Big Ten Conference,Illinois
Big Ten Conference,Indiana
Big Ten Conference,Iowa
Big Ten Conference,Maryland
Big Ten Conference,Michigan
Big Ten Conference,Michigan State
Big Ten Conference,Minnesota
Big Ten Conference,Nebraska
Big Ten Conference,Northwestern
Big Ten Conference,Ohio State
Big Ten Conference,Oregon
Big Ten Conference,Penn State
Big Ten Conference,Purdue
Big Ten Conference,Rutgers
Big Ten Conference,UCLA
Big Ten Conference,USC
Big Ten Conference,Washington
Big Ten Conference,Wisconsin
Big West Conference,Cal Poly
Big West Conference,Cal State Bakersfield
Big West Conference,Cal State Fullerton
Big West Conference,Cal State Northridge
Big West Conference,Hawai'i
Big West Conference,Long Beach State
Big West Conference,UC Davis
Big West Conference,UC Irvine
Big West Conference,UC Riverside
Big West Conference,UC San Diego
Big West Conference,UC Santa Barbara
Coastal Athletic Association,Campbell
Coastal Athletic Association,Charleston
Coastal Athletic Association,Delaware
Coastal Athletic Association,Drexel
Coastal Athletic Association,Elon
Coastal Athletic Association,Hampton
Coastal Athletic Association,Hofstra
Coastal Athletic Association,Monmouth
Coastal Athletic Association,North Carolina A&T
Coastal Athletic Association,Northeastern
Coastal Athletic Association,Stony Brook
Coastal Athletic Association,Towson
Coastal Athletic Association,UNC Wilmington
Coastal Athletic Association,William & Mary
Conference USA,Florida International
Conference USA,Jacksonville State
Conference USA,Kennesaw State
Conference USA,Liberty
Conference USA,Louisiana Tech
Conference USA,Middle Tennessee
Conference USA,New Mexico State
Conference USA,Sam Houston
Conference USA,UTEP
Conference USA,Western Kentucky
Horizon League,Cleveland State
Horizon League,Detroit Mercy
Horizon League,Green Bay
Horizon League,IU Indianapolis
Horizon League,Milwaukee
Horizon League,Northern Kentucky
Horizon League,Oakland
Horizon League,Purdue Fort Wayne
Horizon League,Robert Morris
Horizon League,Wright State
Horizon League,Youngstown State
Ivy League,Brown
Ivy League,Columbia
Ivy League,Cornell
Ivy League,Dartmouth
Ivy League,Harvard
Ivy League,Pennsylvania
Ivy League,Princeton
Ivy League,Yale
Metro Atlantic Athletic Conference,Canisius
Metro Atlantic Athletic Conference,Fairfield
Metro Atlantic Athletic Conference,Iona
Metro Atlantic Athletic Conference,Manhattan
Metro Atlantic Athletic Conference,Marist
Metro Atlantic Athletic Conference,Merrimack
Metro Atlantic Athletic Conference,Mount St. Mary's
Metro Atlantic Athletic Conference,Niagara
Metro Atlantic Athletic Conference,Quinnipiac
Metro Atlantic Athletic Conference,Rider
Metro Atlantic Athletic Conference,Sacred Heart
Metro Atlantic Athletic Conference,Saint Peter's
Metro Atlantic Athletic Conference,Siena
Mid-American Conference,Akron
Mid-American Conference,Ball State
Mid-American Conference,Bowling Green
Mid-American Conference,Buffalo
Mid-American Conference,Central Michigan
Mid-American Conference,Eastern Michigan
Mid-American Conference,Kent State
Mid-American Conference,Miami (OH)
Mid-American Conference,Northern Illinois
Mid-American Conference,Ohio
Mid-American Conference,Toledo
Mid-American Conference,Western Michigan
Mid-Eastern Athletic Conference,Coppin State
Mid-Eastern Athletic Conference,Delaware State
Mid-Eastern Athletic Conference,Howard
Mid-Eastern Athletic Conference,Maryland Eastern Shore
Mid-Eastern Athletic Conference,Morgan State
Mid-Eastern Athletic Conference,Norfolk State
Mid-Eastern Athletic Conference,North Carolina Central
Mid-Eastern Athletic Conference,South Carolina State
Missouri Valley Conference,Belmont
Missouri Valley Conference,Bradley
Missouri Valley Conference,Drake
Missouri Valley Conference,Evansville
Missouri Valley Conference,Illinois State
Missouri Valley Conference,Indiana State
Missouri Valley Conference,Missouri State
Missouri Valley Conference,Murray State
Missouri Valley Conference,Northern Iowa
Missouri Valley Conference,Southern Illinois
Missouri Valley Conference,UIC
Missouri Valley Conference,Valparaiso
Mountain West Conference,Air Force
Mountain West Conference,Boise State
Mountain West Conference,Colorado State
Mountain West Conference,Fresno State
Mountain West Conference,Nevada
Mountain West Conference,New Mexico
Mountain West Conference,San Diego State
Mountain West Conference,San José State
Mountain West Conference,UNLV
Mountain West Conference,Utah State
Mountain West Conference,Wyoming
Northeast Conference,Central Connecticut
Northeast Conference,Chicago State
Northeast Conference,Fairleigh Dickinson
Northeast Conference,Le Moyne
Northeast Conference,Long Island University
Northeast Conference,Mercyhurst
Northeast Conference,St. Francis (PA)
Northeast Conference,Stonehill
Northeast Conference,Wagner
Ohio Valley Conference,Eastern Illinois
Ohio Valley Conference,Lindenwood
Ohio Valley Conference,Little Rock
Ohio Valley Conference,Morehead State
Ohio Valley Conference,SIU Edwardsville
Ohio Valley Conference,Southeast Missouri State
Ohio Valley Conference,Southern Indiana
Ohio Valley Conference,Tennessee State
Ohio Valley Conference,Tennessee Tech
Ohio Valley Conference,UT Martin
Ohio Valley Conference,Western Illinois
Patriot League,American University
Patriot League,Army
Patriot League,Boston University
Patriot League,Bucknell
Patriot League,Colgate
Patriot League,Holy Cross
Patriot League,Lafayette
Patriot League,Lehigh
Patriot League,Loyola Maryland
Patriot League,Navy
Southeastern Conference,Alabama
Southeastern Conference,Arkansas
Southeastern Conference,Auburn
Southeastern Conference,Florida
Southeastern Conference,Georgia
Southeastern Conference,Kentucky
Southeastern Conference,LSU
Southeastern Conference,Mississippi State
Southeastern Conference,Missouri
Southeastern Conference,Oklahoma
Southeastern Conference,Ole Miss
Southeastern Conference,South Carolina
Southeastern Conference,Tennessee
Southeastern Conference,Texas
Southeastern Conference,Texas A&M
Southeastern Conference,Vanderbilt
Southern Conference,Chattanooga
Southern Conference,East Tennessee State
Southern Conference,Furman
Southern Conference,Mercer
Southern Conference,Samford
Southern Conference,The Citadel
Southern Conference,UNC Greensboro
Southern Conference,VMI
Southern Conference,Western Carolina
Southern Conference,Wofford
Southland Conference,Houston Christian
Southland Conference,Incarnate Word
Southland Conference,Lamar
Southland Conference,McNeese
Southland Conference,New Orleans
Southland Conference,Nicholls
Southland Conference,Northwestern State
Southland Conference,SE Louisiana
Southland Conference,Stephen F. Austin
Southland Conference,Texas A&M-Commerce
Southland Conference,Texas A&M-Corpus Christi
Southland Conference,UT Rio Grande Valley
Southwestern Athletic Conference,Alabama A&M
Southwestern Athletic Conference,Alabama State
Southwestern Athletic Conference,Alcorn State
Southwestern Athletic Conference,Arkansas-Pine Bluff
Southwestern Athletic Conference,Bethune-Cookman
Southwestern Athletic Conference,Florida A&M
Southwestern Athletic Conference,Grambling
Southwestern Athletic Conference,Jackson State
Southwestern Athletic Conference,Mississippi Valley State
Southwestern Athletic Conference,Prairie View A&M
Southwestern Athletic Conference,Southern
Southwestern Athletic Conference,Texas Southern
Summit League,Denver
Summit League,Kansas City
Summit League,North Dakota
Summit League,North Dakota State
Summit League,Omaha
Summit League,Oral Roberts
Summit League,South Dakota
Summit League,South Dakota State
Summit League,St. Thomas-Minnesota
Sun Belt Conference,App State
Sun Belt Conference,Arkansas State
Sun Belt Conference,Coastal Carolina
Sun Belt Conference,Georgia Southern
Sun Belt Conference,Georgia State
Sun Belt Conference,James Madison
Sun Belt Conference,Louisiana
Sun Belt Conference,Marshall
Sun Belt Conference,Old Dominion
Sun Belt Conference,South Alabama
Sun Belt Conference,Southern Miss
Sun Belt Conference,Texas State
Sun Belt Conference,Troy
Sun Belt Conference,UL Monroe
West Coast Conference,Gonzaga
West Coast Conference,Loyola Marymount
West Coast Conference,Oregon State
West Coast Conference,Pacific
West Coast Conference,Pepperdine
West Coast Conference,Portland
West Coast Conference,Saint Mary's
West Coast Conference,San Diego
West Coast Conference,San Francisco
West Coast Conference,Santa Clara
West Coast Conference,Washington State
Western Athletic Conference,Abilene Christian
Western Athletic Conference,California Baptist
Western Athletic Conference,Grand Canyon
Western Athletic Conference,Seattle U
Western Athletic Conference,Southern Utah
Western Athletic Conference,Tarleton State
Western Athletic Conference,UT Arlington
Western Athletic Conference,Utah Tech
Western Athletic Conference,Utah Valley
