home_team,away_team,home_advantage,off_eff_diff,def_eff_diff,adj_off_eff_diff,adj_def_eff_diff,efg_pct_diff,ts_pct_diff,threepar_diff,ftr_diff,luck_diff,net_rating_diff,rating_luck_interaction,shooting_strength_interaction,Unnamed: 15,is_conference,is_neutral
Virginia Cavaliers,Syracuse Orange,-15.50909091,14.303985353148462,-0.576754678,5.398671175708628,-5.57600298,0.033476499,0.035217121,0.1034974472285155,-0.032283443,0.091655967,10.974674155291323,1.0058943698434466,0.3673936641907698,,1,0
Wake Forest Demon Deacons,Louisville Cardinals,-17.66666667,-10.39527486,8.185812641,-7.445742162,0.4334039240372789,-0.038355591,-0.036963798,-0.085025042,-0.025543264,0.092323524,-7.879146086,-0.727430532,0.3022093065486291,,1,0
NC State Wolfpack,Virginia Tech Hokies,-7.636363636,6.2981833812245895,-2.053138036,0.082339551,-1.257898956,0.037095412,0.034114058,0.055145561,-0.027493189,-0.140454344,1.3402385069460507,-0.18824232,0.049716699,,1,0
Boston College Eagles,Miami Hurricanes,-15.10606061,-17.61163511,1.556866996983942,-6.45094809,-2.579944301,-0.097408745,-0.092706816,0.1016542321089842,-0.02512535,0.1206164488971739,-3.871003789,-0.466906731,0.3770696197934459,,1,0
Pittsburgh Panthers,SMU Mustangs,-7.784615385,-9.350215584,2.9495555434892395,-6.575567012,3.949650273,-0.037747197,-0.053092503,0.069111744,-0.039961928,-0.016162153,-10.52521728,0.1701101719911479,0.3972974486848576,,1,0
Notre Dame Fighting Irish,Florida State Seminoles,-13.66666667,0.025047343,-3.594416136,-2.265212748,-6.103053252,0.017147634,0.009520364,-0.094811956,0.000148527,0.040101417,3.837840504380978,0.153902842,0.065809884,,1,0
North Carolina Tar Heels,Duke Blue Devils,-25.65,-4.19892809,6.944229954484953,-2.243261712,5.996320114,-0.018739468,-0.025445195,-0.028141229,-0.022166845,-0.103015197,-8.239581826,0.8488021462850639,0.1544053803243655,,1,0
California Golden Bears,Clemson Tigers,-16.5,-1.476868768,3.718954389252062,-4.211807761,2.6775425115980056,-0.010026024,0.003755775,-0.004969072,0.000354109,0.004280821,-6.889350273,-0.029492078,0.069072793,,1,0
Stanford Cardinal,Georgia Tech Yellow Jackets,-8.047619048,5.180396166152164,3.525930967703715,1.883464836306274,2.5694622420242155,-0.011197526,-0.000414886,0.1209921394903874,0.063886579,0.055393021,-0.685997406,-0.037999469,0.007681474,,1,0
Louisville Cardinals,NC State Wolfpack,-19.51666667,1.6747079940601424,-4.538838654,3.352844912811264,-2.770843034,0.003495977,0.003499625,0.092093375,-0.009368775,0.008662991,6.123687946395549,0.053049455,0.0214082725633045,,1,0
Florida State Seminoles,Virginia Cavaliers,-20.21212121,-14.31847348,8.967695841,-5.559593549,10.840794882077574,-0.062175881,-0.053312937,0.044607732,-0.035381821,-0.013716361,-16.40038843,0.2249536492294762,1.0197086063010004,,1,0
Miami Hurricanes,North Carolina Tar Heels,-20.2,-0.016901032,-1.980267853,-2.939349074,1.098676341401358,0.009546795,0.010508199,-0.093546403,-0.035351616,-0.026734864,-4.038025415,0.1079560589831829,-0.038550202,,1,0
SMU Mustangs,Notre Dame Fighting Irish,-19.01538462,10.1229348,1.209847457177176,10.10185583533402,1.4760967867529473,0.03466374,0.046512789,-0.074206346,0.02292299,-0.057917101,8.625759048581074,-0.499578962,0.2990010699450554,,1,0
Pittsburgh Panthers,Duke Blue Devils,-7.784615385,-12.87799367,15.517251901914818,-5.982681224,12.002217095546143,-0.059336758,-0.068404891,-0.046456592,-0.117524816,-0.136155173,-17.98489832,2.4487369369819447,1.067165557801172,,1,0
Clemson Tigers,Virginia Tech Hokies,-15.57575758,0.8988902753635557,-6.696890713,0.1573500217563435,-5.909457309,0.012309974,0.007869896,0.033832425,-0.009573823,-0.01419661,6.06680733,-0.086128095,0.074682242,,1,0
Syracuse Orange,California Golden Bears,-6.205128205,-4.330727274,-1.119450436,0.6739399191199169,1.6699984350547936,0.005045035,-0.019449917,-0.056729675,0.020849679,-0.09763221,-0.996058516,0.097247394,-0.00502515,,1,0
Boston College Eagles,Stanford Cardinal,-15.10606061,-8.27225608,-5.311953731,-3.56063465,-2.774384447,-0.028305111,-0.040170801,0.002328367,-0.081175316,-0.061642047,-0.786250203,0.048466072,0.022254899,,1,0
Georgia Tech Yellow Jackets,Wake Forest Demon Deacons,-9.607142857,-7.560654499,-3.945694723,-2.243514257,-0.661335323,-0.01730404,-0.022282532,-0.138778909,0.041649258,0.1091521864062286,-1.582178934,-0.17269829,0.027378087,,1,0
Duke Blue Devils,Clemson Tigers,-5.722222222,7.853676060011836,-3.961819922,3.5449670839706613,-3.067190439,0.039720563,0.037555584,0.032956467,0.054172929,0.086765553,6.612157523,0.5737075021151187,0.2626386219983398,,1,0
Notre Dame Fighting Irish,Georgia Tech Yellow Jackets,-13.66666667,5.084891434493642,3.050997039,0.4474190148364556,1.856495677445352,0.010845479,0.005232948,0.1019919172936631,-0.035130803,-0.059191333,-1.409076663,0.083405125,-0.015282111,,1,0
Boston College Eagles,California Golden Bears,-15.10606061,-12.49691941,-1.159945212,-3.876784031,-1.229680797,-0.05685483,-0.073844004,0.017892139,-0.02882499,0.073351119,-2.647103234,-0.194167985,0.150500604,,1,0
Virginia Tech Hokies,Florida State Seminoles,-17.51666667,4.923193895,-4.293554402,3.5414401936988753,-3.702875541,0.021370397,0.025920061,-0.120238857,0.0560353,0.029608392,7.244315734296165,0.2144925403515571,0.1548139058433251,,1,0
North Carolina Tar Heels,Pittsburgh Panthers,-25.65,8.679065578,-8.573021947,3.739419512,-6.005896982,0.04059729,0.042959696,0.018315363,0.09535797,0.033139976,9.745316493508383,0.3229595504183972,0.3956334386226489,,1,0
Syracuse Orange,SMU Mustangs,-6.205128205,-10.13349402,-6.006372484,-7.675720714,-0.637835437,-0.023111991,-0.037937337,0.020913123,0.044593747,-0.060123921,-7.037885277,0.4231452593668711,0.1626595425750247,,1,0
NC State Wolfpack,Miami Hurricanes,-7.636363636,1.7614461679106768,3.641610497633863,1.5626332306260622,0.6237523363430029,-0.005742453,0.003625575,0.1100443015981326,-0.014573833,-0.083273226,0.9388808942830592,-0.078183641,-0.00539148,,1,0
Wake Forest Demon Deacons,Stanford Cardinal,-17.66666667,2.380258332663402,0.4197637557484626,0.3600494211480054,-1.908126919,0.028501566,0.022697417,0.01778677,-0.105535838,-0.164545207,2.26817634,-0.373217546,0.064646578,,1,0
Louisville Cardinals,Baylor Bears,-19.51666667,2.0743103247931174,-10.34563978,8.501424499,-6.346260959,0.007889195,0.01172482,0.1493936186042973,-0.048490381,0.072613415,14.84768545783848,1.0781411445092026,0.1171362869696364,,0,1
Virginia Cavaliers,Ohio State Buckeyes,-15.50909091,4.533303803933563,-5.604070713,4.663487935552567,-6.527414169,0.0019596,-0.012196715,0.061555275,-0.01226062,0.08962512,11.190902104256024,1.0029859445219902,0.0219296965912496,,0,1
Duke Blue Devils,Syracuse Orange,-5.722222222,13.661272101752658,-6.561323875,7.082834926049344,-7.414731386,0.044701552,0.053249725,0.094655213,0.032969141,0.1801169408658076,14.497566311915222,2.611257294101358,0.6480637183148694,,1,0
Florida State Seminoles,Boston College Eagles,-20.21212121,8.151704005491055,8.431435938413074,4.3898015762603535,8.164471134073793,0.033200482,0.036298272,0.073483366,-0.017990595,-0.093043723,-3.774669558,0.3512093095300725,-0.12532085,,1,0
NC State Wolfpack,North Carolina Tar Heels,-7.636363636,1.744545136318976,1.661342645106444,-1.376715843,1.722428677744361,0.003804342,0.014133774,0.016497898,-0.049925449,-0.11000809,-3.099144521,0.3409309694823976,-0.011790206,,1,0
SMU Mustangs,Louisville Cardinals,-19.01538462,-2.748103125,8.500962413107658,0.8600184304637537,3.1046610651394673,-0.010150412,-0.007500592,-0.196018381,0.003898181,0.084367276,-2.244642635,-0.189374385,0.0227840479088735,,1,0
Miami Hurricanes,Virginia Tech Hokies,-20.2,4.536737213313913,-5.694748533,-1.48029368,-1.881651293,0.042837865,0.030488484,-0.054898741,-0.012919356,-0.057181118,0.4013576126629914,-0.022950077,0.0171933031992659,,1,0
Wake Forest Demon Deacons,Clemson Tigers,-17.66666667,-3.321273763,8.290726664188682,-4.167907721,2.314119242709197,-0.010074177,-0.007220011,0.028381469,-0.052831404,-0.025271219,-6.482026963,0.1638087252900613,0.065301085,,1,0
Georgia Tech Yellow Jackets,Virginia Cavaliers,-9.607142857,-19.37831757,2.3222826659772124,-8.272225312,2.881245952542983,-0.055873726,-0.049025521,-0.152196141,-0.00010249,0.085576388,-11.15347126,-0.954473789,0.6231860008401131,,1,0
Virginia Tech Hokies,Wake Forest Demon Deacons,-17.51666667,2.422383487401362,-1.593835951,4.010557698789313,3.595338066,-0.002235798,-0.000649886,-0.062213894,0.062405227,0.039467829,0.4152196329481228,0.0163878174604741,-0.000928347,,1,0
Clemson Tigers,Florida State Seminoles,-15.57575758,5.8220841702038655,-10.99044512,3.698790215455219,-9.612332849,0.033680372,0.033789958,-0.086406433,0.046461476,0.015411782,13.311123064602896,0.2051481325590499,0.4483235724175694,,1,0
Syracuse Orange,North Carolina Tar Heels,-6.205128205,-9.462344011,-0.38290608,-4.839573214,1.4184112721409576,-0.025962084,-0.02780453,-0.066513984,-0.010802296,-0.077101744,-6.257984486,0.4825015159752706,0.1624703203258059,,1,0
Pittsburgh Panthers,Notre Dame Fighting Irish,-7.784615385,0.7727192182833988,4.159403000666416,3.5262888233811083,5.425747059274627,-0.003083457,-0.006579713,-0.005094602,-0.017038937,-0.074079254,-1.899458236,0.1407104499653307,0.005856897,,1,0
Virginia Cavaliers,Miami Hurricanes,-15.50909091,4.858542373457283,1.020607094736576,3.498447035360485,-5.256268049,-0.002032381,-0.003095608,0.130529866,-0.007734123,0.041289087,8.754715084203582,0.3614741905874971,-0.017792915,,1,0
Louisville Cardinals,Georgia Tech Yellow Jackets,-19.51666667,17.95592936150166,-4.240117917,9.689256419706725,0.227931399,0.055659631,0.059246329,0.2238039514667123,-0.016105995,-0.20147571,9.461325020647893,-1.906227179,0.5266138599723946,,1,0
SMU Mustangs,Boston College Eagles,-19.01538462,18.29968615109668,6.046867259484102,12.226444663886111,3.5375146687375008,0.085011856,0.092331424,-0.095534936,0.005080923,-0.110859408,8.688929995148612,-0.963249634,0.738662069,,1,0
California Golden Bears,Stanford Cardinal,-16.5,4.224663327300277,-4.152008519,0.3161493804950623,-1.54470365,0.028549719,0.033673203,-0.015563771,-0.052350325,-0.134993167,1.8608530305343576,-0.251202443,0.05312683,,1,0
Duke Blue Devils,Michigan Wolverines,-5.722222222,0.3223377701751531,1.0665007106701268,5.955833727177222,-1.222443769,-0.014325756,-0.012328398,0.028058538,0.013064299,0.003959887,7.178277496610917,0.028425169,-0.102834252,,0,1
North Carolina Tar Heels,Louisville Cardinals,-25.65,-3.41925313,2.8774960091670323,-1.97612907,1.048414355839924,-0.007300319,-0.017633399,-0.108591274,0.059294224,0.1013450987950556,-3.024543426,-0.306522652,0.0220801322494797,,1,0
Notre Dame Fighting Irish,Duke Blue Devils,-13.66666667,-13.65071289,11.357848901248405,-9.508970047,6.576470036271516,-0.056253301,-0.061825177,-0.041361989,-0.100485878,-0.062075918,-16.08544008,0.9985184639967796,0.9048591057619711,,1,0
Boston College Eagles,Wake Forest Demon Deacons,-15.10606061,-10.65251441,-5.731717487,-3.920684071,-0.866257528,-0.056806677,-0.062868219,-0.015458403,0.024360522,0.1029031601371915,-3.054426544,-0.314310144,0.1735118230984485,,1,0
Virginia Cavaliers,NC State Wolfpack,-15.50909091,3.097096205546606,-2.621003403,1.9358138047344229,-5.880020385,0.003710072,-0.006721183,0.020485565,0.00683971,0.1245623131153072,7.815834189920523,0.9735583856222036,0.0289973100085867,,1,0
Florida State Seminoles,Miami Hurricanes,-20.21212121,-9.459931108,9.988302935397016,-2.061146514,5.584526833234477,-0.064208262,-0.056408545,0.1751375983646207,-0.043115944,0.027572726,-7.645673347,-0.210812054,0.4909153996335545,,1,0
Stanford Cardinal,Pittsburgh Panthers,-8.047619048,-0.677214487,-3.684469072,-2.090243002,-4.712780495,-0.018959548,0.000931879,0.024094824,0.1160563202301186,0.1886636079431183,2.622537492784474,0.4947773853548184,-0.049722127,,1,0
California Golden Bears,SMU Mustangs,-16.5,-5.802766744,-4.886922047,-8.349660633,-2.307833872,-0.028157027,-0.01848742,0.077642797,0.023744067,0.037508288,-6.041826761,-0.226618581,0.1701198768571797,,1,0
Duke Blue Devils,Virginia Cavaliers,-5.722222222,-0.642713251,-5.984569197,1.6841637503407156,-1.838728406,0.011225054,0.018032604,-0.008842234,0.065252584,0.088460974,3.5228921566238967,0.3116384717598396,0.039544653,,1,0
Georgia Tech Yellow Jackets,Florida State Seminoles,-9.607142857,-5.059844091,-6.645413175,-2.712631763,-7.95954893,0.006302155,0.004287416,-0.196803873,0.035279331,0.099292749,5.246917166989874,0.5209808317764797,0.033066886,,1,0
Notre Dame Fighting Irish,NC State Wolfpack,-13.66666667,-11.19632993,2.7522763016570053,-5.888992492,-1.142278755,-0.041318175,-0.050513756,-0.029718659,-0.028393584,0.1509473689244079,-4.746713737,-0.71650395,0.1961255499169688,,1,0
Miami Hurricanes,Boston College Eagles,-20.2,17.611635113645278,-1.556866997,6.450948089985033,2.5799443008393155,0.097408745,0.092706816,-0.101654232,0.02512535,-0.120616449,3.8710037891457176,-0.466906731,0.3770696197934459,,1,0
California Golden Bears,Pittsburgh Panthers,-16.5,3.547448840675401,-7.836477591,-1.774093621,-6.257484145,0.00959017,0.034605082,0.008531053,0.063705995,0.053670441,4.483390523318832,0.2406255484753289,0.042996478,,1,0
Wake Forest Demon Deacons,Syracuse Orange,-17.66666667,2.486322278975905,5.691222711270385,-0.630039878,-2.033421704,-0.005093188,0.008474131,0.090080216,-0.074035192,0.068080169,1.4033818254766288,0.095542472,-0.007147687,,1,0
Stanford Cardinal,SMU Mustangs,-8.047619048,-10.02743007,-0.734913528,-8.665810014,-0.763130222,-0.056706745,-0.052160623,0.093206569,0.076094393,0.1725014549544031,-7.902679792,-1.363223762,0.44813525,,1,0
Clemson Tigers,Louisville Cardinals,-15.57575758,-7.0740011,-0.104914023,-3.277834442,-1.880715319,-0.028281414,-0.029743787,-0.113406511,0.02728814,0.1175947432416806,-1.397119123,-0.164293865,0.0395125049896254,,1,0
North Carolina Tar Heels,Virginia Tech Hokies,-25.65,4.553638244905613,-3.714480681,1.4590553936611317,-2.980327634,0.03329107,0.019980285,0.038647662,0.02243226,-0.030446254,4.439383027699677,-0.135162584,0.1477918096573107,,1,0
NC State Wolfpack,Duke Blue Devils,-7.636363636,-2.454382954,8.605572599591397,-3.619977555,7.718748791469281,-0.014935126,-0.011311421,-0.011643331,-0.072092294,-0.213023287,-11.33872635,2.4154127589685546,0.1693453062650316,,1,0
Virginia Cavaliers,Wake Forest Demon Deacons,-15.50909091,11.817663074172556,-6.267977389,6.028711054175602,-3.542581276,0.038569686,0.02674299,0.013417231,0.041751748,0.023575798,9.571292329814696,0.2256508544757975,0.3691617444277645,,1,0
North Carolina Tar Heels,Clemson Tigers,-25.65,3.6547479695420577,2.982410032550135,1.301705371904788,2.9291296745118416,0.020981095,0.012110388,0.004815238,0.032006084,-0.016249644,-1.627424303,0.0264450662811612,-0.034145144,,1,0
Louisville Cardinals,Syracuse Orange,-19.51666667,12.88159714,-2.49458993,6.815702284,-2.466825628,0.033262403,0.045437929,0.175105258,-0.048491928,-0.024243355,9.282527911766351,-0.22503962,0.3087591876429789,,1,0
Virginia Tech Hokies,Boston College Eagles,-17.51666667,13.074897900331363,4.137881536330113,7.931241769959229,4.461595593476503,0.05457088,0.062218333,-0.046755491,0.038044705,-0.063435331,3.469646176482726,-0.220098154,0.1893416443141957,,1,0
Georgia Tech Yellow Jackets,California Golden Bears,-9.607142857,-9.405059493,0.6260775514844426,-2.199614217,-1.024758592,-0.017352192,-0.033258317,-0.105428368,-0.011536254,0.079600146,-1.174855625,-0.093518679,0.0203863207107827,,1,0
SMU Mustangs,Miami Hurricanes,-19.01538462,0.6880510374514017,7.603734256468044,5.775496574,0.9575703678981852,-0.012396888,-0.000375392,0.006119296,-0.020044427,0.009757041,4.817926206002895,0.047008704,-0.059727293,,1,0
Notre Dame Fighting Irish,Stanford Cardinal,-13.66666667,-0.095504732,-0.474933929,-1.436045821,-0.712966565,0.022043005,0.005647834,-0.019000222,-0.099017383,-0.114584353,-0.723079257,0.082853569,-0.01593884,,1,0
Pittsburgh Panthers,Florida State Seminoles,-7.784615385,0.7977665614004223,0.564986865,1.2610760756728467,-0.677306193,0.014064177,0.00294065,-0.099906558,-0.01689041,-0.033977838,1.9383822684874588,-0.065862038,0.0272617516115327,,1,0
Boston College Eagles,Notre Dame Fighting Irish,-15.10606061,-8.176751349,-4.837019802,-2.124588829,-2.061417882,-0.050348116,-0.045818635,0.021328589,0.017842067,0.052942306,-0.063170947,-0.003344416,0.003180538,,1,0
Clemson Tigers,Georgia Tech Yellow Jackets,-15.57575758,10.881928261580484,-4.345031941,6.411421977999936,-1.65278392,0.027378217,0.029502542,0.11039744,0.011182146,-0.083880967,8.064205897613022,-0.676433389,0.2207835756368366,,1,0
Virginia Cavaliers,Virginia Tech Hokies,-15.50909091,9.395279586771196,-4.674141439,2.018153355386289,-7.137919341,0.040805484,0.027392876,0.075631125,-0.020653479,-0.015892031,9.156072696866572,-0.145508591,0.3736179784634351,,1,0
Florida State Seminoles,SMU Mustangs,-20.21212121,-10.14798215,2.3845686789289715,-7.836643088,4.626956465336292,-0.051811374,-0.056033153,0.1690183019677298,-0.023071518,0.017815685,-12.46359955,-0.222047558,0.645756218,,1,0
Miami Hurricanes,Louisville Cardinals,-20.2,-3.436154162,0.8972281566396134,-4.915478143,2.147090697241282,0.002246476,-0.0071252,-0.202137677,0.023942608,0.074610235,-7.062568841,-0.526939922,-0.015865892,,1,0
NC State Wolfpack,Stanford Cardinal,-7.636363636,11.100825201289354,-3.227210231,4.452946670589185,0.4293121906189014,0.06336118,0.05616159,0.010718437,-0.070623799,-0.265531722,4.0236344799702835,-1.068402594,0.2549422300291679,,1,0
Wake Forest Demon Deacons,California Golden Bears,-17.66666667,-1.844404995,4.571772275,0.043900041,-0.363423269,-4.82e-05,-0.010975786,0.033350541,-0.053185512,-0.029552041,0.4073233095417521,-0.012037235,-1.96e-05,,1,0
Syracuse Orange,Pittsburgh Panthers,-6.205128205,-0.783278433,-8.955928027,-1.100153702,-4.58748571,0.014635206,0.015155166,-0.048198622,0.084555674,-0.043961768,3.487332007383955,-0.153309281,0.051037821,,1,0
Duke Blue Devils,North Carolina Tar Heels,-5.722222222,4.198928090469778,-6.944229954,2.2432617120658733,-5.996320114,0.018739468,0.025445195,0.028141229,0.022166845,0.1030151971582126,8.239581825790793,0.8488021462850639,0.1544053803243655,,1,0
